D1,D2,D3,D4,D5,D6,D7,D8
3.0000,3.0528,3.3150,3.6438,3.6438,3.6490,3.7881,3.7881
3.0000,3.4040,3.7145,3.7673,4.0701,4.2615,4.8160,5.1308
3.0000,3.8354,4.8159,5.7205,7.0359,7.7192,8.7991,9.8641
3.0000,3.2471,3.5186,3.5186,3.7289,4.1149,4.3594,4.3594
3.0000,3.3339,3.4837,3.7051,3.9807,4.2069,4.2095,4.6119
3.0000,3.2171,3.4334,3.4334,3.7107,3.9321,4.1294,4.3033
3.0000,3.8909,4.6285,5.9252,7.2561,8.5287,9.7413,10.8426
3.0000,4.0645,5.0390,6.0961,6.9447,7.8716,8.7728,9.6815
3.0000,3.9268,4.8742,5.8970,6.9796,7.9009,8.5150,9.6341
3.0000,3.9358,5.2275,6.1610,7.3333,8.2668,9.2780,10.0266
3.0000,3.2868,3.3403,3.6350,3.9117,4.0615,4.5197,4.5553
3.0000,3.3583,3.4966,3.9412,4.0996,4.0996,4.5155,4.8273
3.0000,3.1155,3.1256,3.1256,3.3565,3.5362,3.5362,3.9032
3.0000,3.4753,4.0244,4.4644,4.6613,4.9335,4.9335,5.2388
3.0000,3.1173,3.4896,3.6352,3.6352,3.8243,3.9061,3.9061
3.0000,3.2653,3.5546,3.8489,4.0182,4.1434,4.2700,4.5177
3.0000,3.2297,3.3699,3.6437,3.6947,4.0189,4.1114,4.6500
3.0000,3.6833,4.2840,5.4286,6.1666,6.7927,7.7338,8.3558
3.0000,3.5173,3.5847,3.7869,3.9162,4.2492,4.3145,4.6253
3.0000,3.2078,3.3924,3.7378,3.7378,3.9168,4.2066,4.7117
3.0000,3.3540,3.9555,4.4564,4.6491,5.2653,6.0891,6.8924
3.0000,3.0758,3.0758,3.4493,3.8168,3.8891,3.9203,3.9203
3.0000,3.0186,3.3088,3.8879,4.1105,4.5722,4.6832,4.8188
3.0000,3.0803,3.3834,3.4816,3.4816,3.6054,3.8315,3.9605
3.0000,3.0000,3.1988,3.3498,3.3498,3.3498,3.6385,3.9366
3.0000,3.9117,4.4653,5.4258,6.1004,6.4447,7.3765,7.8806
3.0000,3.2147,3.2147,3.5593,3.7212,4.1196,4.4261,4.4261
3.0000,3.7403,4.5642,5.7668,7.1087,8.1401,8.9597,10.1814
3.0000,3.6132,3.9492,5.1791,6.0568,6.9067,7.5232,8.5587
3.0000,3.7745,4.0532,4.5925,5.6108,6.6170,7.0950,7.9234
3.0000,3.8685,4.3537,4.7667,5.0923,5.6727,6.3155,6.8225
3.0000,3.5071,4.4059,4.9779,6.0103,6.8290,7.1320,7.9745
3.0000,3.0618,3.2506,3.3587,3.3587,3.5183,3.7031,4.1073
3.0000,4.0051,5.4856,5.7611,6.1923,6.8921,7.8215,8.2964
3.0000,3.0000,3.1621,3.1621,3.5608,3.6535,3.9807,4.3237
3.0000,3.0301,3.1240,3.1240,3.4538,3.4888,3.5286,3.5286
3.0000,3.0000,3.2465,3.3218,3.5713,3.6941,3.8144,4.1020
3.0000,3.4535,3.9150,4.2078,4.6846,4.9571,5.2442,5.4274
3.0000,3.1287,3.1346,3.3936,3.7644,3.9058,3.9058,4.0058
3.0000,3.2200,3.4663,3.7327,4.1015,4.4188,4.5939,4.7866
3.0000,3.2973,3.4368,3.9441,4.0346,4.5774,4.9057,5.1330
3.0000,3.6995,4.8552,5.9517,7.2396,8.1286,8.6525,9.8783
3.0000,3.1306,3.2893,3.5876,3.6899,3.9734,4.2436,4.9040
3.0000,3.0138,3.0138,3.4361,3.5792,3.7517,3.9656,4.1680
3.0000,3.8249,4.9492,6.1368,7.1937,8.4265,9.5223,10.3513
3.0000,3.2918,3.9547,4.4734,4.8911,5.3412,6.0036,6.7080
3.0000,3.9297,4.8573,6.2993,7.3658,8.3108,9.5502,10.2833
3.0000,3.2355,3.5020,3.6500,4.0115,4.0115,4.5827,4.6642
3.0000,3.9240,4.5427,5.3078,5.6412,5.9945,6.9079,7.4080
3.0000,3.3178,3.5953,3.9044,4.0542,4.1279,4.4827,4.7353
3.0000,3.2758,3.2758,3.3110,3.4717,3.7085,3.9288,3.9948
3.0000,3.1964,3.4528,3.6439,3.8891,4.0730,4.2605,4.6889
3.0000,3.1446,3.2059,3.3704,3.6283,4.0102,4.4454,4.4454
3.0000,4.1184,5.0941,6.0354,6.9647,8.0184,9.1844,10.0692
3.0000,3.1453,3.3020,3.5099,3.8019,4.0423,4.3511,4.6614
3.0000,3.4606,4.4851,5.2338,5.4089,6.3807,6.8180,7.5997
3.0000,3.2364,3.5301,3.7325,3.8711,3.9473,4.0564,4.1473
3.0000,3.9565,4.9177,5.8046,6.7560,8.0297,9.2121,10.1312
3.0000,3.3144,3.4528,3.7864,3.8037,4.1375,4.3573,4.6269
3.0000,3.4790,3.4790,3.7964,4.0067,4.4084,4.5274,4.6471
3.0000,4.0832,4.6140,5.8753,6.7951,7.7919,8.2547,9.6231
3.0000,3.3330,3.6778,3.7223,4.0773,4.2320,4.4949,4.6211
3.0000,4.3964,5.2213,6.5234,7.8881,9.0970,10.2328,11.1545
3.0000,4.2024,5.5021,6.2078,7.2023,8.2600,9.3529,10.2815
3.0000,3.6819,4.2930,4.3394,5.0827,5.4541,6.0410,6.4793
3.0000,3.2376,3.4876,3.7625,3.9654,4.1743,4.4839,4.7873
3.0000,3.4356,3.6094,4.5383,5.0542,6.0720,6.8275,7.8768
3.0000,3.6076,4.2108,5.2829,6.3743,6.9384,7.5249,8.1903
3.0000,3.2359,3.4282,3.5985,3.6219,3.7577,3.9446,4.2932
3.0000,3.0549,3.3761,3.5269,3.6895,3.7462,3.9250,4.0843
3.0000,3.8524,4.6513,5.4794,6.1665,6.5867,7.5144,8.2901
3.0000,3.0991,3.4066,3.5898,3.8393,3.9437,4.2250,4.4833
3.0000,3.2155,3.3259,3.6633,3.9007,3.9263,3.9263,4.0173
3.0000,3.1092,3.4183,3.8885,4.1398,4.3045,4.3045,4.7868
3.0000,3.1779,3.5177,3.5950,3.8678,3.9955,3.9955,4.2806
3.0000,3.4153,3.9164,4.0905,4.2044,4.3731,4.4603,4.6234
3.0000,3.0895,3.2701,3.6264,3.6683,3.8935,4.0211,4.0211
3.0000,3.0000,3.0969,3.5585,3.7168,3.8487,3.9870,4.1676
3.0000,3.2035,3.3916,3.4283,3.5853,3.9313,4.1669,4.3850
3.0000,3.1335,3.3890,3.5791,3.7153,3.9255,4.0446,4.3208
3.0000,3.0818,3.2344,3.2344,3.2396,3.4615,3.5126,3.6542
3.0000,3.1689,3.1689,3.3747,3.7195,4.0670,4.3679,4.5352
3.0000,3.6206,4.1639,4.7467,5.3114,5.5117,6.2489,6.9114
3.0000,3.7093,4.7808,5.6753,6.2062,6.5269,7.1142,7.2066
3.0000,4.2027,4.8480,5.4872,6.1823,6.9456,7.1949,8.0910
3.0000,3.4988,3.6463,3.6899,3.9043,3.9052,3.9970,4.0632
3.0000,3.9930,5.0177,5.8192,6.9421,7.9040,8.9643,10.0858
3.0000,3.4663,4.8645,5.4259,5.9242,7.1532,7.8116,8.2850
3.0000,3.3000,3.3000,3.6115,3.6864,3.7244,3.8473,4.2184
3.0000,3.2222,3.2222,3.4468,3.5058,3.7334,3.9852,4.0592
3.0000,3.9759,4.8299,5.7879,7.4104,8.6983,9.7991,10.5407
3.0000,3.1713,3.8020,4.1424,4.4830,5.3007,5.7998,6.5283
3.0000,3.4509,3.6735,3.7421,3.8256,4.1393,4.1393,4.2978
3.0000,3.3197,3.5007,3.7601,4.1010,4.3661,4.6878,4.8042
3.0000,3.3458,4.2310,5.1268,5.5129,5.5248,5.8656,7.0898
3.0000,3.3633,3.6287,3.6483,3.8660,4.1596,4.3020,4.7209
3.0000,3.2508,3.4343,3.9607,3.9607,4.2586,4.4350,4.4350
3.0000,3.2438,3.5378,3.6117,3.7963,3.8736,3.8805,3.9405
3.0000,3.2590,3.3875,3.4796,3.8735,3.9614,4.0833,4.0833
3.0000,3.1107,3.5283,3.8254,3.8254,3.8785,4.1108,4.1121
3.0000,3.4664,3.8229,3.8229,4.0441,4.3344,4.6463,4.6674
3.0000,3.2644,3.5817,3.7084,3.8296,4.1797,4.2162,4.4225
3.0000,3.4285,4.5871,4.9243,5.6963,6.5080,7.3343,8.7857
3.0000,3.3769,3.4515,3.4515,3.6850,4.2023,4.7139,4.9368
3.0000,3.0000,3.0000,3.1458,3.5445,3.5928,3.6181,3.7800
3.0000,3.8408,4.1554,4.6002,5.7701,6.3583,6.8758,7.6558
3.0000,3.2963,3.4094,3.7596,3.9150,4.1705,4.1705,4.4193
3.0000,3.2857,3.5322,3.9847,4.3017,4.6069,4.7507,5.1007
3.0000,3.0674,3.3435,3.7923,3.8267,4.0038,4.0038,4.1695
3.0000,3.0000,4.2121,5.1272,5.5961,6.6394,7.0848,7.8741
3.0000,3.2379,3.4227,3.7774,4.1601,4.4153,4.5929,4.7805
3.0000,3.3888,3.7083,4.0416,4.0416,4.0872,4.1489,4.5696
3.0000,3.3373,3.7360,4.1290,4.5638,4.8140,5.0845,5.1654
3.0000,3.2826,3.5591,3.8981,4.1805,4.4768,4.4768,4.5650
3.0000,3.3212,3.4867,3.4867,3.9653,4.4588,4.7250,4.8760
3.0000,3.0833,3.5490,3.7919,4.0177,4.2608,4.4522,4.8618
3.0000,4.1126,4.7507,5.7695,6.7704,7.6301,8.5343,9.3782
3.0000,3.5247,4.7154,5.5545,6.3411,6.4300,6.9745,7.6215
3.0000,3.3591,3.5779,3.8725,4.0512,4.4030,4.4030,4.4030
3.0000,3.3002,3.3577,3.7760,3.8700,4.1147,4.3550,4.5373
3.0000,3.7186,4.7748,5.8014,6.5364,7.5635,8.8743,9.6649
3.0000,3.7495,4.0688,5.1519,5.7851,5.9830,6.5587,7.5579
3.0000,3.1126,3.1967,3.2956,3.4420,3.5244,3.5792,3.8325
3.0000,3.2494,3.5873,3.8004,4.0551,4.4368,4.7459,4.9992
3.0000,3.4058,3.4058,3.7349,3.9137,4.4645,4.5213,4.7416
3.0000,3.0085,3.6551,4.0804,4.2494,4.4910,5.5771,6.2321
3.0000,3.4982,3.6422,3.6422,4.0378,4.2633,4.4057,4.7415
3.0000,3.8678,4.5525,5.4076,6.1984,7.2113,8.0376,9.0769
3.0000,3.2326,3.3184,3.3184,3.3184,3.5491,3.8197,3.9785
3.0000,3.2096,3.2740,3.5243,3.6852,3.9298,4.1454,4.6672
3.0000,3.2228,3.5545,3.7099,3.7099,3.8644,4.0283,4.5964
3.0000,3.3086,3.4941,3.5754,3.7507,3.7507,3.9902,4.0383
3.0000,3.0840,3.2355,3.4975,3.9264,4.1078,4.3760,4.4443
3.0000,3.9172,4.7380,5.7795,6.4821,7.4522,8.4056,9.3181
3.0000,3.9140,4.6572,5.9030,7.1412,7.9854,9.0109,10.0020
3.0000,3.1804,3.5678,3.7443,3.8684,4.2143,4.4938,5.0121
3.0000,3.0877,3.2670,3.5189,4.0112,4.0112,4.4102,4.7756
3.0000,3.0000,3.1113,3.2400,3.3832,3.6690,3.7484,3.9954
3.0000,3.9971,5.1124,5.6117,6.3749,7.3050,8.4835,9.3814
3.0000,3.0000,3.1541,3.5394,3.6127,3.7128,3.8128,3.9677
3.0000,3.1605,3.3496,3.3496,3.6326,3.6357,3.7640,3.7640
3.0000,3.2602,3.2602,3.4447,3.5547,3.7656,3.9899,4.0458
3.0000,3.1877,3.2359,3.5204,3.8147,4.2488,4.4557,4.7143
3.0000,3.0859,3.4225,3.8849,4.0601,4.4019,4.5966,4.8365
3.0000,3.5918,4.3569,4.9079,5.6798,6.1706,7.2372,8.0114
3.0000,3.3940,3.5840,3.8360,4.2038,4.2038,4.4402,4.4468
3.0000,3.6906,4.4127,5.1974,5.6743,6.4193,6.8516,7.3399
3.0000,3.0696,3.2215,3.5643,3.8832,3.9473,4.0727,4.2620
3.0000,3.0000,3.2428,3.6344,3.9826,4.2478,4.3391,4.5354
3.0000,3.2703,3.5027,3.5476,4.0290,4.1183,4.2655,4.2655
3.0000,3.2693,3.5812,3.5812,3.6384,3.6930,3.9121,3.9121
3.0000,4.1813,5.4190,6.3494,7.5750,8.5129,9.5336,10.6423
3.0000,3.7950,4.2787,5.1149,5.8534,6.2787,7.1735,7.6943
3.0000,3.4858,3.6420,3.6944,3.7724,4.0156,4.3135,4.4240
3.0000,3.0000,3.2792,3.3397,3.3866,3.3947,3.8232,3.9007
3.0000,4.2937,5.1774,6.4246,7.2829,8.4141,8.9735,9.8232
3.0000,3.2999,3.8687,3.9348,3.9348,4.0281,4.0694,4.0694
3.0000,3.0000,3.1491,3.1491,3.3944,3.7073,3.9129,4.0137
3.0000,3.0301,3.2559,3.5843,3.6522,3.9705,4.2143,4.6705
3.0000,3.0884,3.2128,3.7062,3.7710,3.9252,4.0866,4.3563
3.0000,3.0000,3.2524,3.3102,3.6306,3.9515,4.1015,4.3649
3.0000,3.3213,3.5998,3.6451,3.6451,3.7270,3.7270,3.7270
3.0000,3.0536,3.3019,3.4370,3.6666,3.8466,3.9766,4.3277
3.0000,3.7809,4.5992,5.4275,6.4707,7.6050,8.3550,9.0268
3.0000,3.0000,3.0749,3.4232,3.4232,3.8678,4.1648,4.4975
3.0000,3.8771,5.0092,6.1895,6.8704,7.9657,9.2349,10.2031
3.0000,3.9209,4.2001,4.8451,5.3802,6.0185,6.6217,6.8504
3.0000,3.2206,3.2206,3.3908,3.6009,3.8681,4.1892,4.3130
3.0000,3.2080,3.4459,3.5107,3.9243,4.2256,4.4469,4.7776
3.0000,3.2706,3.3545,3.8554,3.9839,3.9839,4.3606,4.6120
3.0000,3.5227,4.1999,4.9491,5.7062,5.9793,6.7638,7.5205
3.0000,3.5037,3.9174,4.3715,5.3324,6.2988,7.0593,7.4898
3.0000,3.5260,4.4661,5.2152,5.9753,6.0227,6.4232,7.1625
3.0000,3.3722,3.4337,3.6473,3.6473,3.9938,3.9938,4.0390
3.0000,3.2696,3.2696,3.5103,3.7551,4.1074,4.3113,4.4934
3.0000,3.5859,3.6089,3.6089,3.9139,4.3035,4.5772,5.1062
3.0000,3.0217,3.3641,3.6159,3.8783,3.9546,3.9688,3.9688
3.0000,3.9041,3.9790,4.0803,5.0823,5.7992,6.6640,7.2364
3.0000,3.3604,4.4753,5.2377,6.1747,7.0030,7.3935,8.6218
3.0000,3.0743,3.2252,3.2252,3.2730,3.7250,3.9297,4.0446
3.0000,3.2633,3.4711,3.4711,3.5861,3.5861,3.8773,3.9912
3.0000,3.8458,4.3056,5.0757,5.9861,6.5648,7.9744,8.0828
3.0000,3.1218,3.1488,3.4106,3.6070,3.7930,4.1565,4.4921
3.0000,3.7960,4.4740,4.7652,5.0820,5.6078,6.4747,7.0591
3.0000,3.5197,4.3101,4.7322,5.7170,6.2304,7.0376,7.5149
3.0000,3.4013,3.5479,3.7140,3.8771,3.8771,4.2335,4.2335
3.0000,3.2898,3.5811,3.9167,5.1374,5.8556,6.4030,7.2363
3.0000,3.3973,3.5590,3.9051,3.9051,4.0778,4.2543,4.5930
3.0000,3.1505,3.2916,3.4232,3.6791,3.7515,3.8439,3.9828
3.0000,4.0494,4.7739,5.7850,7.0245,8.1255,9.1267,10.2141
3.0000,3.4128,3.6507,3.9708,4.3802,4.3802,4.6736,4.8302
3.0000,3.1896,3.3366,3.3456,3.5226,3.8641,4.1889,4.6036
3.0000,3.1290,3.3575,3.8300,4.0299,4.3426,4.4963,4.8280
3.0000,4.0017,4.9211,6.0202,7.5351,8.3809,9.5760,9.9919
3.0000,3.3100,3.4129,3.5770,3.8198,3.8674,3.9582,3.9732
3.0000,3.1829,3.6909,3.7133,4.0972,4.1635,4.4280,4.7283
3.0000,4.1371,5.3848,6.2646,7.1178,8.2773,9.6810,10.6566
3.0000,4.0571,5.1965,6.4417,7.4702,8.3812,9.3180,10.4041
3.0000,4.3800,5.1827,6.0197,6.6477,7.5035,8.3077,9.4488
3.0000,3.7728,4.4555,4.8987,5.5273,6.2469,7.4854,8.8329
3.0000,4.0490,5.1876,6.5401,7.2423,8.0362,9.0299,9.7396
3.0000,3.1536,3.3448,3.6045,3.9188,4.4064,4.7574,5.0817
3.0000,3.3431,3.3469,3.5169,4.0078,4.2237,4.2546,4.3999
