Cls,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8
1,3.0000,3.4219,3.4794,3.6981,4.2909,4.7918,4.7918,4.7918
1,3.0000,3.3297,3.5699,3.9437,4.0947,4.5189,4.7114,5.3500
1,3.0000,3.3206,3.3960,3.6663,3.9764,4.3435,4.7646,4.9884
1,3.0000,3.2124,3.6053,4.0788,4.0788,4.3014,4.8903,5.0049
1,3.0000,3.4187,3.4187,3.7538,3.9664,4.0718,4.2592,4.6303
1,3.0000,3.1943,3.4913,3.7971,4.1572,4.2833,4.7591,5.2594
1,3.0000,3.4433,3.8797,4.1300,4.4958,4.8200,5.0123,5.4114
1,3.0000,3.0000,3.2871,3.7147,3.9570,4.2898,4.5642,4.6634
1,3.0000,3.4691,3.6417,4.1836,4.4921,4.9176,5.4635,5.9268
1,3.0000,3.1313,3.5398,3.6230,4.1615,4.6321,4.8963,5.3032
1,3.0000,3.2969,3.9668,4.1848,4.6243,5.0246,5.2151,5.5588
1,3.0000,3.1319,3.4644,3.8995,4.2364,4.3095,4.4665,4.8896
1,3.0000,3.1474,3.3291,3.5860,3.8895,4.0775,4.5698,4.9265
1,3.0000,3.2445,3.5432,3.8555,4.4300,4.7772,4.8830,5.1661
1,3.0000,3.4310,3.7152,4.0723,4.3358,4.3721,4.6582,5.0895
1,3.0000,3.3217,3.6958,4.0275,4.1786,4.5318,4.9131,5.3346
1,3.0000,3.2123,3.3683,3.5425,3.9808,4.2546,4.6966,4.6966
1,3.0000,3.5784,3.7791,3.8938,4.1611,4.4380,4.5990,4.8338
1,3.0000,3.2344,3.5628,3.9019,4.4050,4.6356,4.9219,5.2481
1,3.0000,3.2505,3.6871,3.8781,4.2830,4.7122,5.2825,5.6145
1,3.0000,3.2127,3.3633,3.5912,4.0335,4.0707,4.4367,4.7281
1,3.0000,3.2483,3.6259,4.0075,4.2267,4.4551,4.5536,5.0582
1,3.0000,3.2147,3.3986,3.6195,3.8208,4.3208,4.5976,4.8355
1,3.0000,3.0743,3.3875,3.7076,4.0969,4.7722,5.2579,5.4548
1,3.0000,3.0940,3.4368,3.9284,4.3766,4.7418,4.9331,5.2294
1,3.0000,3.2923,3.6899,4.2210,4.4334,4.8514,5.0502,5.5022
1,3.0000,3.2370,3.6067,3.9388,4.2338,4.4555,4.6356,5.2663
1,3.0000,3.2575,3.4020,3.6440,4.0062,4.4062,4.6316,4.9889
1,3.0000,3.3467,3.5597,3.7390,3.7390,3.9003,4.1525,4.4481
1,3.0000,3.0204,3.3149,3.5263,3.7107,4.0492,4.4374,4.6690
1,3.0000,3.3040,3.5429,3.7152,3.8480,4.0560,4.3619,4.8393
1,3.0000,3.2964,3.6439,4.1247,4.3495,4.5139,4.8782,5.2745
1,3.0000,3.3652,3.7825,3.9961,4.4718,4.6479,5.1535,5.4122
1,3.0000,3.0595,3.2240,3.4883,3.9938,4.4533,4.6975,5.0929
1,3.0000,3.4113,3.6164,3.6229,4.0086,4.4419,4.7319,4.8803
1,3.0000,3.3851,3.4810,3.6519,3.9297,4.1624,4.7496,5.0630
1,3.0000,3.2312,3.6751,3.7304,3.8307,4.2054,4.8727,5.1690
1,3.0000,3.3491,3.6097,3.9054,4.3172,4.3679,4.6813,4.9232
1,3.0000,3.2415,3.7705,4.2178,4.5709,4.9741,5.3846,5.9474
1,3.0000,3.4251,3.6800,3.7711,4.2466,4.4784,4.6223,5.0859
1,3.0000,3.1033,3.2458,3.4506,3.8981,4.1951,4.7477,4.8720
1,3.0000,3.2128,3.3050,3.5348,3.7598,4.1338,4.2839,4.2839
1,3.0000,3.3844,3.3844,3.8045,4.0608,4.3770,4.7754,5.1193
1,3.0000,3.3130,3.6041,3.7074,3.9344,4.0337,4.2594,4.5954
1,3.0000,3.3237,3.5366,3.5366,3.5616,3.9702,4.5327,4.7381
1,3.0000,3.2452,3.3607,3.6872,3.9217,4.4707,4.4707,4.6855
1,3.0000,3.2135,3.6983,4.0439,4.1543,4.6354,4.7169,4.9733
1,3.0000,3.1844,3.3200,3.4138,3.9459,4.4997,4.6417,4.8899
1,3.0000,3.5445,3.9173,4.3486,4.6977,5.0960,5.3550,5.8313
1,3.0000,3.5022,3.8143,4.2152,4.5627,4.8147,5.0547,5.1190
1,3.0000,3.0333,3.3815,3.5041,3.9187,4.3127,4.6355,5.1602
1,3.0000,3.5317,3.9394,4.3337,5.0758,5.0758,5.3288,5.8541
1,3.0000,3.3236,3.6817,3.7571,4.1895,4.3514,4.5895,5.0761
1,3.0000,3.4297,3.7384,4.2111,4.5142,4.7291,4.8889,5.3346
1,3.0000,3.1897,3.4381,3.6699,3.9554,4.3193,4.5000,4.6675
1,3.0000,3.5493,3.6329,3.8109,3.9666,4.1792,4.5965,4.6987
1,3.0000,3.4723,3.7868,4.0127,4.3703,4.6562,4.9108,5.6540
1,3.0000,3.2085,3.6662,3.8259,3.9979,3.9980,4.2650,4.5900
1,3.0000,3.1937,3.5716,3.6555,3.6555,3.9618,4.4782,5.0287
1,3.0000,3.4479,3.9713,4.2301,4.6213,4.7798,5.1572,5.2511
1,3.0000,3.4025,3.5173,3.8095,4.2925,4.7470,5.0591,5.4496
1,3.0000,3.2807,3.6149,3.7268,3.8613,4.1890,4.4405,4.7793
1,3.0000,3.1705,3.5255,4.0461,4.0461,4.2130,4.3978,4.6585
1,3.0000,3.3685,3.6280,3.8750,4.2653,4.4522,4.4673,4.8554
1,3.0000,3.3348,3.4131,3.8168,4.2570,4.4745,4.8939,5.1222
1,3.0000,3.1719,3.6141,3.9798,4.4921,4.7915,5.1088,5.4511
1,3.0000,3.3439,3.6104,4.0828,4.3775,4.7743,5.1190,5.3881
1,3.0000,3.1652,3.4646,3.6734,3.6775,4.2649,4.7145,5.2836
1,3.0000,3.3289,3.8078,4.0892,4.4034,4.7618,4.9100,5.1373
1,3.0000,3.4635,3.9662,4.0070,4.5798,4.7896,4.7896,5.0894
1,3.0000,3.1663,3.4050,3.6595,4.1534,4.3690,4.7279,5.1717
1,3.0000,3.1453,3.3973,3.6729,3.9506,4.1315,4.5301,4.8636
1,3.0000,3.0000,3.3436,3.8127,3.9116,4.1899,4.6359,4.9787
1,3.0000,3.3339,3.5445,4.0692,4.4165,4.7259,4.7483,5.2581
1,3.0000,3.0682,3.6114,4.0157,4.2634,4.7683,5.2484,5.5253
1,3.0000,3.1731,3.5540,3.9821,4.4600,4.8027,5.2425,5.6263
1,3.0000,3.2205,3.5650,3.7797,3.8420,4.0480,4.2379,4.4325
1,3.0000,3.2013,3.4555,3.8063,3.9878,4.4302,4.7082,4.9179
1,3.0000,3.4548,3.4934,3.8672,4.2240,4.5344,4.7197,5.0039
1,3.0000,3.3262,3.4612,3.5302,3.9820,4.2331,4.3437,4.4317
1,3.0000,3.1985,3.1985,3.4431,3.7507,3.9298,4.1801,4.3567
1,3.0000,3.4997,3.9551,4.2404,4.4669,4.7819,5.0502,5.3373
1,3.0000,3.2151,3.3678,3.9911,4.2451,4.3839,4.7774,5.2492
1,3.0000,3.4826,3.8409,4.1834,4.4479,4.6553,4.9561,5.0012
1,3.0000,3.3553,3.7401,4.0695,4.4678,4.9666,5.4791,5.7458
1,3.0000,3.3358,3.6633,3.8418,4.0435,4.2042,4.3836,4.5583
1,3.0000,3.4960,3.7086,4.1050,4.3021,4.7837,5.0801,5.5946
1,3.0000,3.3661,3.9768,4.2974,4.5626,4.9723,5.2925,5.7279
1,3.0000,3.1076,3.5185,3.6673,4.0977,4.4523,4.7189,5.4353
1,3.0000,3.2329,3.6055,3.8691,4.3800,4.6534,4.8637,4.9434
1,3.0000,3.1783,3.9351,4.1379,4.3575,4.8031,4.9460,5.2431
1,3.0000,3.3495,3.4180,3.9301,4.3913,4.7398,5.1073,5.3723
1,3.0000,3.0430,3.0519,3.0519,3.1657,3.3643,3.7161,4.1495
1,3.0000,3.0111,3.1445,3.5563,3.9758,4.3076,4.5640,5.1181
1,3.0000,3.1392,3.4617,3.5996,3.7867,4.1513,4.3167,4.6050
1,3.0000,3.3027,3.6388,3.9969,4.4912,4.7753,4.9419,5.3571
1,3.0000,3.3109,3.5779,3.8540,4.0755,4.3569,4.6937,5.0794
1,3.0000,3.4461,3.4461,3.8241,4.1347,4.4137,4.4638,4.7566
1,3.0000,3.5758,3.9073,4.2430,4.5189,4.6783,4.9481,5.2523
1,3.0000,3.4172,3.4371,4.0262,4.2363,4.5253,4.9210,5.2507
1,3.0000,3.3595,3.6048,4.0611,4.3639,4.7465,5.1481,5.4963
1,3.0000,3.0399,3.0781,3.4745,3.6580,3.7556,3.7556,4.0258
1,3.0000,3.5703,3.7768,4.0075,4.5217,4.7635,4.9265,5.2494
1,3.0000,3.3098,3.6084,3.9437,4.2424,4.6942,4.6942,5.1452
1,3.0000,3.2263,3.2263,3.2705,3.6002,3.8208,4.1197,4.3709
1,3.0000,3.1847,3.3893,3.6936,4.0051,4.3279,4.8495,5.1428
1,3.0000,3.3356,3.6775,4.0081,4.3089,4.6135,4.9713,5.2746
1,3.0000,3.1386,3.3687,3.5810,4.1485,4.3340,4.7124,5.3760
1,3.0000,3.2391,3.5844,3.8363,4.1010,4.2871,4.5616,4.9859
1,3.0000,3.2254,3.4611,3.6423,3.8002,4.4019,4.6391,5.0226
1,3.0000,3.3044,3.7852,4.3357,4.7583,5.2937,5.2937,5.4576
1,3.0000,3.2384,3.5356,3.8011,3.9906,4.3049,4.7972,5.0467
1,3.0000,3.1789,3.3264,3.3264,3.4766,3.8391,4.0196,4.2299
1,3.0000,3.0662,3.4677,3.7601,3.9048,4.2429,4.3875,4.7152
1,3.0000,3.5123,3.8933,4.0490,4.2457,4.2457,4.3776,4.8631
1,3.0000,3.3510,3.7750,4.0519,4.2800,4.6821,5.1430,5.5734
1,3.0000,3.4654,3.7545,4.0949,4.3813,4.7645,4.9925,5.5661
1,3.0000,3.5277,3.7534,4.0116,4.0598,4.3938,4.5326,4.8612
1,3.0000,3.3684,3.6656,3.8601,3.9154,3.9855,4.2738,4.6514
1,3.0000,3.0815,3.4467,4.0335,4.1282,4.3036,4.3791,4.5902
1,3.0000,3.1935,3.5283,3.8110,3.9487,4.4052,4.6380,5.0051
1,3.0000,3.0000,3.4401,3.6503,3.9742,4.3435,4.6066,5.0675
1,3.0000,3.4560,3.8824,4.5034,4.7424,5.0511,5.2965,5.3607
1,3.0000,3.2290,3.5575,4.1300,4.4299,4.8426,5.0963,5.5280
1,3.0000,3.1866,3.7105,3.9088,4.2440,4.3477,4.5328,5.0350
1,3.0000,3.1768,3.4196,3.4800,3.6411,4.1492,4.4746,4.7798
1,3.0000,3.3745,3.6186,3.9909,4.2148,4.6619,5.0718,5.2879
1,3.0000,3.1590,3.2681,3.2685,3.8052,4.0081,4.0823,4.4201
1,3.0000,3.4856,3.7577,3.9104,4.4395,4.7648,5.0839,5.3189
1,3.0000,3.2284,3.4620,3.7093,4.2933,4.9243,5.1974,5.4135
1,3.0000,3.3015,3.6463,3.9001,4.3471,4.8096,5.1556,5.3107
1,3.0000,3.2832,3.4277,3.5590,3.6487,3.9925,4.5169,5.0926
1,3.0000,3.4424,3.7519,4.2735,4.5836,4.9364,5.3008,5.6481
1,3.0000,3.4604,3.9392,4.2653,4.4938,4.8013,4.9657,5.2243
1,3.0000,3.3404,3.6322,3.6620,3.9105,4.0667,4.4888,5.0397
1,3.0000,3.4416,3.5597,3.8060,4.2889,4.4849,4.8078,5.2860
1,3.0000,3.2419,3.4674,3.8526,3.8526,3.9001,4.1893,4.6246
1,3.0000,3.3442,3.4004,3.5615,3.9174,4.0932,4.5122,4.6693
1,3.0000,3.4554,3.5637,3.9124,4.2029,4.2296,4.4783,4.8381
1,3.0000,3.5248,3.8858,4.0739,4.3743,4.5545,4.7584,4.8726
1,3.0000,3.1832,3.6203,4.0516,4.5254,4.9960,5.2770,5.5884
1,3.0000,3.2921,3.6805,4.1590,4.5665,4.6851,4.9984,5.2623
1,3.0000,3.1872,3.3461,3.6641,3.9991,4.3502,4.6118,5.1648
1,3.0000,3.5006,3.9554,4.1677,4.6674,5.0952,5.5553,5.7656
1,3.0000,3.0373,3.0373,3.1899,3.5062,3.7136,4.1486,4.3850
1,3.0000,3.4517,3.5647,3.8196,4.0384,4.2793,4.6955,4.8000
1,3.0000,3.2465,3.5165,4.0445,4.3407,4.5277,4.8063,5.3194
1,3.0000,3.4607,4.2429,4.3476,4.7326,4.8774,5.2529,5.3745
1,3.0000,3.2381,3.4065,3.8280,4.2090,4.6056,4.8570,5.2944
1,3.0000,3.5145,3.9796,4.3738,4.5009,4.8583,5.0375,5.4703
1,3.0000,3.4689,3.7573,4.0379,4.2749,4.7434,5.3464,5.7003
1,3.0000,3.2816,3.2893,3.7704,3.9698,4.2159,4.6962,4.8796
1,3.0000,3.0000,3.2661,3.6978,4.1950,4.2945,4.3927,4.8176
1,3.0000,3.1197,3.4842,3.7690,3.7690,4.0427,4.2871,4.9113
1,3.0000,3.2532,3.6479,4.0330,4.2739,4.5312,4.8721,5.0113
1,3.0000,3.2868,3.8620,4.0347,4.4315,4.6667,5.1075,5.4105
1,3.0000,3.4553,3.6029,3.9984,4.4569,4.5703,4.9568,5.2813
1,3.0000,3.0065,3.5083,3.7154,4.0310,4.6416,4.8016,5.0706
1,3.0000,3.5155,3.9829,4.0896,4.4868,4.9190,5.2124,5.6012
1,3.0000,3.2100,3.4221,3.5908,3.5908,3.8381,3.9559,3.9559
1,3.0000,3.0302,3.4687,3.8188,3.8188,3.9395,4.0694,4.3269
1,3.0000,3.3653,3.7546,4.1489,4.4182,4.6434,4.8700,5.2177
1,3.0000,3.2653,3.5187,3.6268,3.9546,4.1798,4.5863,4.8344
1,3.0000,3.3517,3.7876,4.0023,4.3146,4.4441,4.7704,5.1852
1,3.0000,3.3536,3.5699,3.9665,4.4587,4.6787,4.9092,5.2309
1,3.0000,3.3615,3.5895,3.9558,4.2930,4.6106,5.0062,5.3040
1,3.0000,3.0000,3.3580,3.4803,4.1552,4.5895,4.7193,4.7193
1,3.0000,3.4152,3.8470,4.3127,4.5366,5.1334,5.4232,5.5683
1,3.0000,3.6295,3.9891,4.1463,4.3452,4.4972,4.8130,5.2481
1,3.0000,3.4194,3.5958,3.8231,4.0270,4.4155,4.6846,4.7996
1,3.0000,3.1024,3.2434,3.3549,3.6469,4.0058,4.1871,4.4185
1,3.0000,3.3238,3.5195,3.6028,3.7845,4.1403,4.3869,4.7493
1,3.0000,3.3837,3.6740,3.9704,4.4278,4.7916,5.0968,5.6663
1,3.0000,3.0734,3.4971,3.9301,4.2079,4.3536,4.6446,4.6738
1,3.0000,3.3783,3.5281,4.0064,4.3863,4.5008,4.6775,5.0056
1,3.0000,3.1306,3.4772,3.7364,3.9217,4.0523,4.2062,4.2062
1,3.0000,3.0068,3.2239,3.3898,3.5597,4.0488,4.5930,4.9239
1,3.0000,3.3192,3.6202,3.8665,4.1780,4.4566,4.7008,4.9743
1,3.0000,3.1408,3.4587,3.6770,4.2014,4.5867,4.8554,5.4224
1,3.0000,3.1916,3.2420,3.3277,3.6541,3.9035,4.1605,4.6880
1,3.0000,3.0000,3.2158,3.4933,4.0564,4.5360,4.6782,5.1438
1,3.0000,3.2571,3.5333,3.9268,4.2178,4.6094,4.7444,5.2607
1,3.0000,3.3460,3.5559,3.8091,4.2355,4.5650,5.1367,5.4924
1,3.0000,3.3207,3.5567,3.8945,3.9756,4.4942,4.4942,4.6791
1,3.0000,3.3607,3.6079,3.9656,4.3678,4.6554,5.0492,5.3698
1,3.0000,3.2958,3.6847,3.9617,4.2979,4.2979,4.4965,4.6450
1,3.0000,3.2538,3.6363,3.9613,4.1949,4.6627,4.6627,4.8239
1,3.0000,3.1965,3.5340,3.9437,4.3332,4.3496,4.9184,5.0648
1,3.0000,3.3035,3.3465,3.4924,3.7737,4.1473,4.1682,4.5186
1,3.0000,3.2360,3.3792,3.3792,3.4779,3.6249,3.7221,4.1027
1,3.0000,3.4695,3.7539,4.2474,4.5341,5.0563,5.5465,5.5465
1,3.0000,3.1625,3.5100,3.6715,3.8015,3.9172,4.3236,4.6476
1,3.0000,3.0303,3.3582,3.6399,3.8037,4.2121,4.5695,4.8365
1,3.0000,3.1982,3.5612,3.9425,4.4289,4.7509,4.8962,5.1142
1,3.0000,3.3208,3.8466,3.9312,4.3005,4.6556,5.1889,5.5012
1,3.0000,3.2149,3.4232,3.6666,4.0398,4.1947,4.5593,4.8873
1,3.0000,3.2208,3.5043,3.7214,4.1246,4.5124,4.7495,5.1798
1,3.0000,3.4849,3.7036,3.9592,4.4642,4.7455,5.1684,5.4646
1,3.0000,3.4002,3.5577,4.0760,4.2700,4.6147,4.9550,5.2373
1,3.0000,3.3435,3.4040,3.6647,3.7704,4.1622,4.2698,4.5872
1,3.0000,3.3600,3.7055,3.9852,4.4625,4.9806,5.2815,5.5150
1,3.0000,3.2154,3.4311,3.6490,3.9382,4.5044,4.8330,5.0882
1,3.0000,3.2597,3.7671,3.8927,4.1407,4.5307,4.8016,5.0503
1,3.0000,3.5200,3.7916,3.9562,4.3400,4.7050,4.9742,5.4477
